"BehaviorSpace results (NetLogo 6.2.1)"
"ModeloDinámicoSmallWorld.nlogo"
"clust-path-length-small-worlsd"
"05/06/2022 08:59:39:765 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-reconexiones","num-nodos","[step]","avg-path-length","global-clustering"
"1","2","100","2","6.793131313131313","0.5905511811023622"
"5","2","100","2","6.8791919191919195","0.5905511811023622"
"3","2","100","2","6.273939393939394","0.5905511811023622"
"6","2","100","2","6.70989898989899","0.5905511811023622"
"7","2","100","2","6.995757575757576","0.5905511811023622"
"4","2","100","2","6.453333333333333","0.5905511811023622"
"2","2","100","2","6.187676767676768","0.5905511811023622"
"10","2","100","2","6.736363636363636","0.5905511811023622"
"9","2","100","2","7.136969696969697","0.5905511811023622"
"8","2","100","2","6.775151515151515","0.5905511811023622"
"11","4","100","4","6.044444444444444","0.5810200129115558"
"12","4","100","4","6.7684848484848485","0.5810200129115558"
"13","4","100","4","6.25050505050505","0.5833333333333334"
"16","4","100","4","5.50080808080808","0.5810200129115558"
"15","4","100","4","5.5593939393939396","0.5810200129115558"
"14","4","100","4","6.8698989898989895","0.5852713178294574"
"19","4","100","4","6.1313131313131315","0.5833333333333334"
"18","4","100","4","6.318585858585859","0.5833333333333334"
"20","4","100","4","5.694949494949495","0.5813953488372093"
"17","4","100","4","6.595353535353535","0.5813953488372093"
"22","6","100","6","5.003030303030303","0.5725190839694656"
"21","6","100","6","5.177373737373737","0.5717916137229987"
"23","6","100","6","5.568888888888889","0.5820610687022901"
"25","6","100","6","4.980808080808081","0.5778766687857597"
"24","6","100","6","5.552929292929293","0.5725190839694656"
"27","6","100","6","5.528686868686869","0.5763358778625954"
"26","6","100","6","5.40040404040404","0.5725190839694656"
"29","6","100","6","4.963838383838384","0.5778766687857597"
"30","6","100","6","4.748888888888889","0.5721551176096631"
"28","6","100","6","5.164848484848485","0.5725190839694656"
"32","8","100","8","4.75030303030303","0.5632040050062578"
"34","8","100","8","5.694141414141414","0.5669586983729662"
"35","8","100","8","4.686868686868687","0.5639097744360902"
"31","8","100","8","4.988484848484848","0.5654351909830932"
"33","8","100","8","4.578181818181818","0.5632040050062578"
"36","8","100","8","4.5882828282828285","0.5632040050062578"
"37","8","100","8","5.195353535353536","0.5707133917396746"
"40","8","100","8","4.899191919191919","0.5657894736842105"
"39","8","100","8","5.111717171717172","0.5639097744360902"
"38","8","100","8","5.531919191919192","0.5666041275797373"
"41","10","100","10","4.918989898989899","0.5637707948243993"
"42","10","100","10","4.242020202020202","0.5545286506469501"
"43","10","100","10","4.6141414141414145","0.55637707948244"
"44","10","100","10","4.462020202020202","0.5548705302096177"
"45","10","100","10","4.558585858585858","0.5570635410240592"
"46","10","100","10","4.427676767676767","0.5538461538461539"
"49","10","100","10","4.542020202020202","0.5592592592592592"
"47","10","100","10","4.413131313131313","0.5541871921182266"
"50","10","100","10","4.2573737373737375","0.5545286506469501"
"52","12","100","12","4.267676767676767","0.547112462006079"
"51","12","100","12","4.477373737373737","0.5533980582524272"
"48","10","100","10","4.425656565656566","0.5582255083179297"
"55","12","100","12","4.237777777777778","0.5494238932686477"
"54","12","100","12","4.523434343434343","0.5482695810564663"
"53","12","100","12","4.496969696969697","0.5507598784194528"
"56","12","100","12","4.285050505050505","0.547112462006079"
"57","12","100","12","4.299595959595959","0.547112462006079"
"58","12","100","12","4.39010101010101","0.5476046088538509"
"59","12","100","12","4.572929292929293","0.5540704738760632"
"61","14","100","14","4.46020202020202","0.5385996409335727"
"60","12","100","12","4.159191919191919","0.5500910746812386"
"62","14","100","14","4.208080808080808","0.539568345323741"
"63","14","100","14","4.199393939393939","0.5392450569203115"
