"BehaviorSpace results (NetLogo 6.2.1)"
"Difusión-Centralidad.nlogo"
"Efecto-Centralidad"
"05/07/2022 15:24:17:557 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","num-nodos","[step]","ticks"
"141","10","mayorgrado","50","7000","17","17"
"140","10","mayorgrado","50","7000","18","18"
"138","10","mayorgrado","50","7000","22","22"
"143","10","mayorgrado","50","7000","18","18"
"142","10","mayorgrado","50","7000","24","24"
"144","10","mayorgrado","50","7000","15","15"
"146","10","mayorgrado","50","7000","17","17"
"147","10","mayorgrado","50","7000","17","17"
"145","10","mayorgrado","50","7000","22","22"
"148","10","mayorgrado","50","7000","20","20"
"149","10","mayorgrado","50","7000","22","22"
"150","10","mayorgrado","50","7000","23","23"
"152","10","mayorgrado","50","8000","17","17"
"151","10","mayorgrado","50","8000","18","18"
"153","10","mayorgrado","50","8000","20","20"
"154","10","mayorgrado","50","8000","20","20"
"155","10","mayorgrado","50","8000","19","19"
"156","10","mayorgrado","50","8000","20","20"
"157","10","mayorgrado","50","8000","18","18"
"158","10","mayorgrado","50","8000","23","23"
"160","10","mayorgrado","50","8000","18","18"
"159","10","mayorgrado","50","8000","25","25"
"161","10","mayorgrado","50","8000","20","20"
"163","10","mayorgrado","50","8000","19","19"
"162","10","mayorgrado","50","8000","23","23"
"165","10","mayorgrado","50","8000","18","18"
"164","10","mayorgrado","50","8000","17","17"
"166","10","mayorgrado","50","8000","18","18"
"168","10","mayorgrado","50","8000","18","18"
"167","10","mayorgrado","50","8000","21","21"
"169","10","mayorgrado","50","8000","21","21"
"174","10","mayorgrado","50","8000","17","17"
"171","10","mayorgrado","50","8000","19","19"
"173","10","mayorgrado","50","8000","18","18"
"170","10","mayorgrado","50","8000","20","20"
"175","10","mayorgrado","50","8000","20","20"
"172","10","mayorgrado","50","8000","21","21"
"176","10","mayorgrado","50","8000","21","21"
"178","10","mayorgrado","50","8000","16","16"
"179","10","mayorgrado","50","8000","17","17"
"182","10","mayorgrado","50","8000","17","17"
"181","10","mayorgrado","50","8000","19","19"
"177","10","mayorgrado","50","8000","25","25"
"183","10","mayorgrado","50","8000","18","18"
"180","10","mayorgrado","50","8000","23","23"
