"BehaviorSpace results (NetLogo 6.2.1)"
"Vacunación-CompGigante.nlogo"
"Vacunación-ComGigante"
"05/08/2022 23:38:55:795 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","num-nodos","[step]","tamaño-gigante"
"25","2","mayorgrado","300","4","35"
"48","2","random","200","2","197"
"53","2","random","300","0","300"
"52","2","random","300","1","293"
"50","2","random","200","2","180"
"51","2","random","300","1","299"
"53","2","random","300","1","298"
"52","2","random","300","2","292"
"48","2","random","200","3","196"
"50","2","random","200","3","179"
"54","2","random","300","0","300"
"51","2","random","300","2","297"
"52","2","random","300","3","284"
"53","2","random","300","2","297"
"54","2","random","300","1","299"
"56","2","random","300","0","300"
"52","2","random","300","4","283"
"53","2","random","300","3","296"
"54","2","random","300","2","298"
"25","2","mayorgrado","300","5","35"
"56","2","random","300","1","299"
"52","2","random","300","5","280"
"53","2","random","300","4","295"
"51","2","random","300","3","296"
"54","2","random","300","3","297"
"54","2","random","300","4","296"
"55","2","random","300","0","300"
"53","2","random","300","5","293"
"56","2","random","300","2","298"
"51","2","random","300","4","294"
"54","2","random","300","5","292"
"56","2","random","300","3","297"
"55","2","random","300","1","299"
"56","2","random","300","4","268"
"57","2","random","300","0","300"
"59","2","random","300","0","300"
"58","2","random","300","0","300"
"57","2","random","300","1","299"
"56","2","random","300","5","263"
"30","2","mayorgrado","300","5","21"
"51","2","random","300","5","292"
"55","2","random","300","2","298"
"58","2","random","300","1","299"
"59","2","random","300","1","298"
"55","2","random","300","3","296"
"57","2","random","300","2","298"
"63","2","between","100","0","100"
"61","2","between","100","0","100"
"58","2","random","300","2","296"
"59","2","random","300","2","297"
"62","2","between","100","0","100"
"57","2","random","300","3","297"
"58","2","random","300","3","295"
"59","2","random","300","3","292"
"57","2","random","300","4","296"
"58","2","random","300","4","287"
"60","2","random","300","0","300"
"59","2","random","300","4","278"
"57","2","random","300","5","289"
"60","2","random","300","1","299"
"55","2","random","300","4","295"
"58","2","random","300","5","285"
"59","2","random","300","5","277"
"64","2","between","100","0","100"
"60","2","random","300","2","297"
"55","2","random","300","5","294"
"60","2","random","300","3","296"
"66","2","between","100","0","100"
"65","2","between","100","0","100"
"60","2","random","300","4","296"
"67","2","between","100","0","100"
"60","2","random","300","5","294"
"65","2","between","100","1","34"
"68","2","between","100","0","100"
"69","2","between","100","0","100"
"69","2","between","100","1","33"
"70","2","between","100","0","100"
"70","2","between","100","1","44"
"71","2","between","200","0","200"
"71","2","between","200","1","80"
"71","2","between","200","2","51"
"71","2","between","200","3","25"
"72","2","between","200","0","200"
"67","2","between","100","1","41"
"73","2","between","200","0","200"
"63","2","between","100","1","49"
"74","2","between","200","0","200"
"68","2","between","100","1","44"
"66","2","between","100","1","41"
"75","2","between","200","0","200"
"76","2","between","200","0","200"
"72","2","between","200","1","41"
"62","2","between","100","1","25"
"64","2","between","100","1","48"
"72","2","between","200","2","37"
"77","2","between","200","0","200"
"72","2","between","200","3","27"
"78","2","between","200","0","200"
"61","2","between","100","1","32"
"79","2","between","200","0","200"
"73","2","between","200","1","79"
"75","2","between","200","1","95"
"79","2","between","200","1","71"
"80","2","between","200","0","200"
"79","2","between","200","2","47"
"79","2","between","200","3","28"
"75","2","between","200","2","46"
"75","2","between","200","3","43"
"73","2","between","200","2","33"
"82","2","between","300","0","300"
"81","2","between","300","0","300"
"74","2","between","200","1","28"
"73","2","between","200","3","27"
"83","2","between","300","0","300"
"76","2","between","200","1","34"
"78","2","between","200","1","57"
"76","2","between","200","2","30"
"74","2","between","200","2","28"
"77","2","between","200","1","27"
"76","2","between","200","3","25"
"74","2","between","200","3","14"
"84","2","between","300","0","300"
"85","2","between","300","0","300"
"77","2","between","200","2","26"
"77","2","between","200","3","22"
"86","2","between","300","0","300"
"81","2","between","300","1","109"
"78","2","between","200","2","57"
"81","2","between","300","2","84"
"81","2","between","300","3","34"
"78","2","between","200","3","29"
"87","2","between","300","0","300"
"81","2","between","300","4","30"
"80","2","between","200","1","87"
"81","2","between","300","5","28"
"88","2","between","300","0","300"
"80","2","between","200","2","41"
"82","2","between","300","1","115"
"80","2","between","200","3","23"
"89","2","between","300","0","300"
"88","2","between","300","1","96"
"88","2","between","300","2","43"
"83","2","between","300","1","126"
"84","2","between","300","1","144"
"83","2","between","300","2","76"
"86","2","between","300","1","143"
"82","2","between","300","2","96"
"84","2","between","300","2","67"
"83","2","between","300","3","59"
"88","2","between","300","3","43"
"88","2","between","300","4","22"
"82","2","between","300","3","50"
"85","2","between","300","1","117"
"88","2","between","300","5","21"
"90","2","between","300","0","300"
"84","2","between","300","3","34"
"87","2","between","300","1","113"
"85","2","between","300","2","35"
"84","2","between","300","4","25"
"86","2","between","300","2","50"
"82","2","between","300","4","34"
"84","2","between","300","5","17"
"91","2","close","100","0","100"
"82","2","between","300","5","27"
"92","2","close","100","0","100"
"86","2","between","300","3","41"
"83","2","between","300","4","30"
"85","2","between","300","3","35"
"87","2","between","300","2","45"
"85","2","between","300","4","31"
"86","2","between","300","4","23"
"87","2","between","300","3","31"
"85","2","between","300","5","24"
"93","2","close","100","0","100"
"83","2","between","300","5","30"
"89","2","between","300","1","146"
"87","2","between","300","4","25"
"94","2","close","100","0","100"
"90","2","between","300","1","87"
"90","2","between","300","2","59"
"87","2","between","300","5","20"
"95","2","close","100","0","100"
"90","2","between","300","3","49"
"92","2","close","100","1","44"
"96","2","close","100","0","100"
"86","2","between","300","5","20"
"97","2","close","100","0","100"
"91","2","close","100","1","24"
"98","2","close","100","0","100"
"98","2","close","100","1","40"
"99","2","close","100","0","100"
"96","2","close","100","1","48"
"100","2","close","100","0","100"
"89","2","between","300","2","65"
"95","2","close","100","1","32"
"101","2","close","200","0","200"
"97","2","close","100","1","30"
"90","2","between","300","4","30"
"89","2","between","300","3","43"
"90","2","between","300","5","27"
"99","2","close","100","1","26"
"93","2","close","100","1","46"
"104","2","close","200","0","200"
"103","2","close","200","0","200"
"102","2","close","200","0","200"
"89","2","between","300","4","29"
"94","2","close","100","1","17"
"105","2","close","200","0","200"
"100","2","close","100","1","36"
"103","2","close","200","1","88"
"106","2","close","200","0","200"
"107","2","close","200","0","200"
"89","2","between","300","5","17"
"108","2","close","200","0","200"
"103","2","close","200","2","82"
"103","2","close","200","3","82"
"104","2","close","200","1","33"
"102","2","close","200","1","60"
"107","2","close","200","1","34"
"109","2","close","200","0","200"
"101","2","close","200","1","89"
"105","2","close","200","1","94"
"106","2","close","200","1","94"
"102","2","close","200","2","60"
"104","2","close","200","2","33"
"101","2","close","200","2","89"
"107","2","close","200","2","34"
"104","2","close","200","3","33"
"109","2","close","200","1","69"
"110","2","close","200","0","200"
"105","2","close","200","2","94"
"101","2","close","200","3","89"
"102","2","close","200","3","60"
"106","2","close","200","2","94"
"105","2","close","200","3","94"
"111","2","close","300","0","300"
"109","2","close","200","2","69"
"107","2","close","200","3","34"
"112","2","close","300","0","300"
"113","2","close","300","0","300"
"109","2","close","200","3","69"
"114","2","close","300","0","300"
"106","2","close","200","3","94"
"116","2","close","300","0","300"
"108","2","close","200","1","61"
"110","2","close","200","1","73"
"115","2","close","300","0","300"
"108","2","close","200","2","61"
"108","2","close","200","3","61"
"110","2","close","200","2","73"
"110","2","close","200","3","73"
"117","2","close","300","0","300"
"118","2","close","300","0","300"
"115","2","close","300","1","129"
"113","2","close","300","1","128"
"112","2","close","300","1","147"
"111","2","close","300","1","146"
"115","2","close","300","2","129"
"114","2","close","300","1","145"
"112","2","close","300","2","147"
"116","2","close","300","1","66"
"113","2","close","300","2","128"
"115","2","close","300","3","129"
"111","2","close","300","2","146"
"114","2","close","300","2","145"
"117","2","close","300","1","131"
"118","2","close","300","1","67"
"113","2","close","300","3","128"
"115","2","close","300","4","129"
"116","2","close","300","2","66"
"115","2","close","300","5","129"
"112","2","close","300","3","147"
"118","2","close","300","2","67"
"119","2","close","300","0","300"
"113","2","close","300","4","128"
"114","2","close","300","3","145"
"112","2","close","300","4","147"
"116","2","close","300","3","66"
"117","2","close","300","2","131"
"111","2","close","300","3","146"
"118","2","close","300","3","67"
"113","2","close","300","5","128"
"120","2","close","300","0","300"
"118","2","close","300","4","67"
"116","2","close","300","4","66"
"112","2","close","300","5","147"
"114","2","close","300","4","145"
"117","2","close","300","3","131"
"121","2","eigen","100","0","100"
"119","2","close","300","1","120"
"118","2","close","300","5","67"
"122","2","eigen","100","0","100"
"117","2","close","300","4","131"
"121","2","eigen","100","1","31"
"123","2","eigen","100","0","100"
"119","2","close","300","2","120"
"122","2","eigen","100","1","36"
"116","2","close","300","5","66"
"111","2","close","300","4","146"
"114","2","close","300","5","145"
"123","2","eigen","100","1","35"
"124","2","eigen","100","0","100"
"125","2","eigen","100","0","100"
"127","2","eigen","100","0","100"
"126","2","eigen","100","0","100"
"125","2","eigen","100","1","28"
"127","2","eigen","100","1","45"
"128","2","eigen","100","0","100"
"129","2","eigen","100","0","100"
"128","2","eigen","100","1","32"
"124","2","eigen","100","1","68"
"119","2","close","300","3","120"
"120","2","close","300","1","98"
"130","2","eigen","100","0","100"
"129","2","eigen","100","1","10"
"132","2","eigen","200","0","200"
"117","2","close","300","5","131"
"131","2","eigen","200","0","200"
"130","2","eigen","100","1","65"
"133","2","eigen","200","0","200"
"134","2","eigen","200","0","200"
"119","2","close","300","4","120"
"120","2","close","300","2","98"
"132","2","eigen","200","1","76"
"131","2","eigen","200","1","44"
"126","2","eigen","100","1","14"
"111","2","close","300","5","146"
"136","2","eigen","200","0","200"
"134","2","eigen","200","1","71"
"131","2","eigen","200","2","44"
"133","2","eigen","200","1","109"
"120","2","close","300","3","98"
"135","2","eigen","200","0","200"
"119","2","close","300","5","120"
"134","2","eigen","200","2","71"
"131","2","eigen","200","3","44"
"137","2","eigen","200","0","200"
"136","2","eigen","200","1","130"
"133","2","eigen","200","2","109"
"138","2","eigen","200","0","200"
"135","2","eigen","200","1","105"
"137","2","eigen","200","1","64"
"136","2","eigen","200","2","56"
"138","2","eigen","200","1","55"
"134","2","eigen","200","3","71"
"132","2","eigen","200","2","76"
"137","2","eigen","200","2","64"
"139","2","eigen","200","0","200"
"138","2","eigen","200","2","55"
"133","2","eigen","200","3","109"
"120","2","close","300","4","98"
"135","2","eigen","200","2","105"
"138","2","eigen","200","3","55"
"136","2","eigen","200","3","56"
"132","2","eigen","200","3","76"
"140","2","eigen","200","0","200"
"139","2","eigen","200","1","87"
"141","2","eigen","300","0","300"
"142","2","eigen","300","0","300"
"143","2","eigen","300","0","300"
"120","2","close","300","5","98"
"144","2","eigen","300","0","300"
"140","2","eigen","200","1","81"
"142","2","eigen","300","1","71"
"135","2","eigen","200","3","105"
